sample_id,dataset,organism_ch1,source_name_ch1,disease,health_state,brain_region,tissue,sex,age,disease_status
GSM1443436,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443437,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443438,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443439,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443440,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443442,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443443,combined_metadata.csv,Homo sapiens,prefrontal cortex brain brain,,,,,,,Unknown
GSM1443444,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443445,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443446,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443447,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443448,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443449,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443450,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443451,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443452,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443453,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443455,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443456,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443457,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443458,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443459,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443460,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443461,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443462,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443463,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443464,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443465,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443466,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443468,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443469,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443470,combined_metadata.csv,Homo sapiens,whole blood,,,,,,,Unknown
GSM1443471,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443472,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443473,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443474,combined_metadata.csv,Homo sapiens,entorhinal cortex,,,,,,,Unknown
GSM1443475,combined_metadata.csv,Homo sapiens,prefrontal cortex brain,,,,,,,Unknown
GSM1443476,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
GSM1443477,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443478,combined_metadata.csv,Homo sapiens,cerebellum,,,,,,,Unknown
GSM1443480,combined_metadata.csv,Homo sapiens,superior temporal gyrus,,,,,,,Unknown
